index,trace_name,trace_start_time,station_network_code,station_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,trace_name_original,trace_chunk
23,"bucket0$20,:3,:6001",2014-03-04T06:22:59.859900,MQ,GBM,14.799451,-61.159276,800.0,1268.0,,1268,100.0,ZNE,train,"bucket1$20,:3,:6001",
24,"bucket0$21,:3,:6001",2014-03-04T06:22:26.830000,MQ,IA2,14.80307,-61.20515,289.0,4626.0,4710.0,4626,100.0,ZNE,train,"bucket1$21,:3,:6001",
25,"bucket1$2,:3,:6001",2014-03-04T07:16:23.770000,MQ,LAM,14.81292,-61.16314,1240.0,2734.0,2765.0,2734,100.0,ZNE,test,"bucket0$2,:3,:6001",
26,"bucket0$22,:3,:6001",2014-03-04T07:16:44.229900,MQ,GBM,14.799451,-61.159276,800.0,693.0,,693,100.0,ZNE,train,"bucket1$22,:3,:6001",
27,"bucket0$23,:3,:6001",2014-03-04T07:16:09.749900,MQ,BAM,14.8171,-61.1445,670.0,4166.0,,4166,100.0,ZNE,train,"bucket1$23,:3,:6001",
28,"bucket0$24,:3,:6001",2014-03-04T07:16:22.290000,MQ,IA2,14.80307,-61.20515,289.0,2942.0,,2942,100.0,ZNE,train,"bucket1$24,:3,:6001",
29,"bucket0$25,:3,:6001",2014-03-04T08:16:35.439900,MQ,GBM,14.799451,-61.159276,800.0,4559.0,,4559,100.0,ZNE,train,"bucket1$25,:3,:6001",
30,"bucket0$26,:3,:6001",2014-03-04T08:16:47.110000,MQ,LAM,14.81292,-61.16314,1240.0,3395.0,3428.0,3395,100.0,ZNE,train,"bucket1$26,:3,:6001",
31,"bucket0$27,:3,:6001",2014-03-04T08:16:46.839900,MQ,BAM,14.8171,-61.1445,670.0,3451.0,,3451,100.0,ZNE,train,"bucket1$27,:3,:6001",
32,"bucket0$28,:3,:6001",2014-03-04T08:16:49.800000,MQ,IA2,14.80307,-61.20515,289.0,3187.0,3287.0,3187,100.0,ZNE,train,"bucket1$28,:3,:6001",
33,"bucket0$29,:3,:6001",2014-03-04T22:25:07.150000,MQ,LAM,14.81292,-61.16314,1240.0,3236.0,3307.0,3236,100.0,ZNE,train,"bucket1$29,:3,:6001",
34,"bucket0$30,:3,:6001",2014-03-04T22:24:48.919900,MQ,BAM,14.8171,-61.1445,670.0,5074.0,,5074,100.0,ZNE,train,"bucket1$30,:3,:6001",
35,"bucket0$31,:3,:6001",2014-03-04T22:25:07.649900,MQ,GBM,14.799451,-61.159276,800.0,3219.0,,3219,100.0,ZNE,train,"bucket1$31,:3,:6001",
36,"bucket0$32,:3,:6001",2014-03-04T22:25:13.450000,MQ,IA2,14.80307,-61.20515,289.0,2701.0,2764.0,2701,100.0,ZNE,train,"bucket1$32,:3,:6001",
37,"bucket0$33,:3,:6001",2014-03-04T23:29:22.629900,MQ,GBM,14.799451,-61.159276,800.0,881.0,,881,100.0,ZNE,train,"bucket1$33,:3,:6001",
38,"bucket0$34,:3,:6001",2014-03-04T23:28:58.570000,MQ,LAM,14.81292,-61.16314,1240.0,3290.0,3339.0,3290,100.0,ZNE,train,"bucket1$34,:3,:6001",
39,"bucket0$35,:3,:6001",2014-03-04T23:29:19.009900,MQ,BAM,14.8171,-61.1445,670.0,1280.0,,1280,100.0,ZNE,train,"bucket1$35,:3,:6001",
40,"bucket0$36,:3,:6001",2014-03-04T23:29:26.340000,MQ,IA2,14.80307,-61.20515,289.0,589.0,707.0,589,100.0,ZNE,train,"bucket1$36,:3,:6001",
41,"bucket3$1,:3,:6001",2014-03-05T00:34:01.259900,MQ,GBM,14.799451,-61.159276,800.0,2515.0,2944.0,2515,100.0,ZNE,dev,"bucket2$1,:3,:6001",
42,"bucket0$37,:3,:6001",2014-03-05T00:33:48.860000,MQ,IA2,14.80307,-61.20515,289.0,3837.0,4182.0,3837,100.0,ZNE,train,"bucket1$37,:3,:6001",
43,"bucket0$38,:3,:6001",2014-03-05T00:33:51.649900,MQ,BAM,14.8171,-61.1445,670.0,3657.0,3983.0,3657,100.0,ZNE,train,"bucket1$38,:3,:6001",
44,"bucket0$39,:3,:6001",2014-03-05T00:34:16.860000,MQ,LAM,14.81292,-61.16314,1240.0,1169.0,1364.0,1169,100.0,ZNE,train,"bucket1$39,:3,:6001",
45,"bucket3$2,:3,:6001",2014-03-05T03:56:21.209900,MQ,GBM,14.799451,-61.159276,800.0,1614.0,,1614,100.0,ZNE,dev,"bucket2$2,:3,:6001",
46,"bucket0$40,:3,:6001",2014-03-05T03:56:20.060000,MQ,IA2,14.80307,-61.20515,289.0,1729.0,1882.0,1729,100.0,ZNE,train,"bucket1$40,:3,:6001",
47,"bucket0$41,:3,:6001",2014-03-05T03:56:00.080000,MQ,LAM,14.81292,-61.16314,1240.0,3731.0,3847.0,3731,100.0,ZNE,train,"bucket1$41,:3,:6001",
48,"bucket0$42,:3,:6001",2014-03-05T03:56:16.039900,MQ,BAM,14.8171,-61.1445,670.0,2174.0,,2174,100.0,ZNE,train,"bucket1$42,:3,:6001",
49,"bucket0$43,:3,:6001",2014-03-05T04:31:33.579900,MQ,GBM,14.799451,-61.159276,800.0,4795.0,,4795,100.0,ZNE,train,"bucket1$43,:3,:6001",
50,"bucket0$44,:3,:6001",2014-03-05T04:32:15.720000,MQ,LAM,14.81292,-61.16314,1240.0,638.0,760.0,638,100.0,ZNE,train,"bucket1$44,:3,:6001",
51,"bucket0$45,:3,:6001",2014-03-05T04:32:01.489900,MQ,BAM,14.8171,-61.1445,670.0,2075.0,2240.0,2075,100.0,ZNE,train,"bucket1$45,:3,:6001",
52,"bucket0$46,:3,:6001",2014-03-05T04:31:54.350000,MQ,IA2,14.80307,-61.20515,289.0,2804.0,2973.0,2804,100.0,ZNE,train,"bucket1$46,:3,:6001",
53,"bucket1$3,:3,:6001",2014-03-05T05:11:59.040000,MQ,LAM,14.81292,-61.16314,1240.0,2545.0,2605.0,2545,100.0,ZNE,test,"bucket0$3,:3,:6001",
54,"bucket3$3,:3,:6001",2014-03-05T05:12:10.259900,MQ,GBM,14.799451,-61.159276,800.0,1436.0,,1436,100.0,ZNE,dev,"bucket2$3,:3,:6001",
55,"bucket1$4,:3,:6001",2014-03-05T05:11:45.299900,MQ,BAM,14.8171,-61.1445,670.0,4042.0,,4042,100.0,ZNE,test,"bucket0$4,:3,:6001",
56,"bucket3$4,:3,:6001",2014-03-05T05:11:39.480000,MQ,IA2,14.80307,-61.20515,289.0,,4641.0,4641,100.0,ZNE,dev,"bucket2$4,:3,:6001",
57,"bucket3$5,:3,:6001",2014-03-11T19:52:09.840000,MQ,LAM,14.81292,-61.16314,1240.0,3974.0,4021.0,3974,100.0,ZNE,dev,"bucket2$5,:3,:6001",
58,"bucket3$6,:3,:6001",2014-03-11T19:52:34.369900,MQ,GBM,14.799451,-61.159276,800.0,1522.0,,1522,100.0,ZNE,dev,"bucket2$6,:3,:6001",
59,"bucket0$47,:3,:6001",2014-03-11T19:52:25.879900,MQ,BAM,14.8171,-61.1445,670.0,2409.0,,2409,100.0,ZNE,train,"bucket1$47,:3,:6001",
60,"bucket0$48,:3,:6001",2014-03-11T19:52:23.269900,MQ,MLM,14.7846,-61.1786,370.0,2682.0,,2682,100.0,ZNE,train,"bucket1$48,:3,:6001",
61,"bucket0$49,:3,:6001",2014-03-11T19:52:21.630000,MQ,IA2,14.80307,-61.20515,289.0,2855.0,2924.0,2855,100.0,ZNE,train,"bucket1$49,:3,:6001",
62,"bucket0$50,:3,:6001",2014-03-11T19:51:57.770000,WI,SAM,14.84108,-61.1638,485.0,5241.0,5402.0,5241,100.0,ZNE,train,"bucket1$50,:3,:6001",
63,"bucket0$51,:3,:6001",2014-03-11T19:52:16.459900,MQ,CPM,14.8168,-61.2074,242.0,3383.0,,3383,100.0,ZNE,train,"bucket1$51,:3,:6001",
64,"bucket0$52,:3,:6001",2014-03-13T13:44:16.139900,MQ,GBM,14.799451,-61.159276,800.0,791.0,,791,100.0,ZNE,train,"bucket1$52,:3,:6001",
65,"bucket0$53,:3,:6001",2014-03-13T13:43:44,MQ,LAM,14.81292,-61.16314,1240.0,4019.0,4083.0,4019,100.0,ZNE,train,"bucket1$53,:3,:6001",
66,"bucket0$54,:3,:6001",2014-03-13T13:44:12.139900,MQ,BAM,14.8171,-61.1445,670.0,1236.0,,1236,100.0,ZNE,train,"bucket1$54,:3,:6001",
67,"bucket0$55,:3,:6001",2014-03-13T13:44:00.419900,MQ,MLM,14.7846,-61.1786,370.0,2427.0,,2427,100.0,ZNE,train,"bucket1$55,:3,:6001",
68,"bucket0$56,:3,:6001",2014-03-13T13:44:14.430000,MQ,IA2,14.80307,-61.20515,289.0,1029.0,1131.0,1029,100.0,ZNE,train,"bucket1$56,:3,:6001",
69,"bucket0$57,:3,:6001",2014-03-13T13:43:49.549900,MQ,CPM,14.8168,-61.2074,242.0,3521.0,,3521,100.0,ZNE,train,"bucket1$57,:3,:6001",
70,"bucket0$58,:3,:6001",2014-03-13T22:37:46.679900,MQ,GBM,14.799451,-61.159276,800.0,1368.0,,1368,100.0,ZNE,train,"bucket1$58,:3,:6001",
71,"bucket0$59,:3,:6001",2014-03-13T22:37:19.519900,MQ,BAM,14.8171,-61.1445,670.0,4101.0,,4101,100.0,ZNE,train,"bucket1$59,:3,:6001",
72,"bucket0$60,:3,:6001",2014-03-13T22:37:33.580000,MQ,LAM,14.81292,-61.16314,1240.0,,2719.0,2719,100.0,ZNE,train,"bucket1$60,:3,:6001",
73,"bucket0$61,:3,:6001",2014-03-13T23:04:35.460000,MQ,LAM,14.81292,-61.16314,1240.0,2201.0,2244.0,2201,100.0,ZNE,train,"bucket1$61,:3,:6001",
74,"bucket0$62,:3,:6001",2014-03-13T23:04:25.169900,MQ,GBM,14.799451,-61.159276,800.0,3234.0,,3234,100.0,ZNE,train,"bucket1$62,:3,:6001",
75,"bucket1$5,:3,:6001",2014-03-13T23:04:23.279900,MQ,BAM,14.8171,-61.1445,670.0,3462.0,,3462,100.0,ZNE,test,"bucket0$5,:3,:6001",
76,"bucket1$6,:3,:6001",2014-03-14T00:09:01.300000,MQ,LAM,14.81292,-61.16314,1240.0,2217.0,,2217,100.0,ZNE,test,"bucket0$6,:3,:6001",
77,"bucket0$63,:3,:6001",2014-03-14T00:08:41.659900,MQ,GBM,14.799451,-61.159276,800.0,4194.0,,4194,100.0,ZNE,train,"bucket1$63,:3,:6001",
78,"bucket0$64,:3,:6001",2014-03-14T00:08:57.579900,MQ,CPM,14.8168,-61.2074,242.0,2622.0,,2622,100.0,ZNE,train,"bucket1$64,:3,:6001",
79,"bucket0$65,:3,:6001",2014-03-14T00:09:16.759900,MQ,BAM,14.8171,-61.1445,670.0,717.0,,717,100.0,ZNE,train,"bucket1$65,:3,:6001",
80,"bucket3$7,:3,:6001",2014-03-14T00:09:09.730000,MQ,IA2,14.80307,-61.20515,289.0,1543.0,,1543,100.0,ZNE,dev,"bucket2$7,:3,:6001",
81,"bucket0$66,:3,:6001",2014-03-14T00:12:36.920000,MQ,LAM,14.81292,-61.16314,1240.0,726.0,797.0,726,100.0,ZNE,train,"bucket1$66,:3,:6001",
82,"bucket1$7,:3,:6001",2014-03-14T00:11:52.019900,MQ,GBM,14.799451,-61.159276,800.0,5255.0,,5255,100.0,ZNE,test,"bucket0$7,:3,:6001",
83,"bucket0$67,:3,:6001",2014-03-14T00:12:02.659900,MQ,BAM,14.8171,-61.1445,670.0,4206.0,,4206,100.0,ZNE,train,"bucket1$67,:3,:6001",
84,"bucket0$68,:3,:6001",2014-03-14T00:12:15.790000,MQ,IA2,14.80307,-61.20515,289.0,2933.0,,2933,100.0,ZNE,train,"bucket1$68,:3,:6001",
85,"bucket3$8,:3,:6001",2014-03-14T00:15:06.510000,MQ,LAM,14.81292,-61.16314,1240.0,5315.0,5379.0,5315,100.0,ZNE,dev,"bucket2$8,:3,:6001",
86,"bucket0$69,:3,:6001",2014-03-14T00:15:36.379900,MQ,GBM,14.799451,-61.159276,800.0,2356.0,,2356,100.0,ZNE,train,"bucket1$69,:3,:6001",
87,"bucket0$70,:3,:6001",2014-03-14T00:15:40.329900,MQ,BAM,14.8171,-61.1445,670.0,1999.0,,1999,100.0,ZNE,train,"bucket1$70,:3,:6001",
88,"bucket0$71,:3,:6001",2014-03-14T00:15:32.810000,MQ,IA2,14.80307,-61.20515,289.0,2778.0,2847.0,2778,100.0,ZNE,train,"bucket1$71,:3,:6001",
89,"bucket1$8,:3,:6001",2014-03-14T09:36:04.750000,MQ,LAM,14.81292,-61.16314,1240.0,2970.0,3021.0,2970,100.0,ZNE,test,"bucket0$8,:3,:6001",
90,"bucket0$72,:3,:6001",2014-03-14T09:36:09.599900,MQ,BAM,14.8171,-61.1445,670.0,2525.0,,2525,100.0,ZNE,train,"bucket1$72,:3,:6001",
91,"bucket1$9,:3,:6001",2014-03-14T09:35:47.279900,MQ,GBM,14.799451,-61.159276,800.0,4779.0,,4779,100.0,ZNE,test,"bucket0$9,:3,:6001",
92,"bucket0$73,:3,:6001",2014-03-14T09:38:41.459900,MQ,GBM,14.799451,-61.159276,800.0,645.0,,645,100.0,ZNE,train,"bucket1$73,:3,:6001",
93,"bucket0$74,:3,:6001",2014-03-14T09:38:25.210000,MQ,LAM,14.81292,-61.16314,1240.0,2273.0,2322.0,2273,100.0,ZNE,train,"bucket1$74,:3,:6001",
94,"bucket0$75,:3,:6001",2014-03-14T09:37:59.929900,MQ,BAM,14.8171,-61.1445,670.0,4834.0,,4834,100.0,ZNE,train,"bucket1$75,:3,:6001",
95,"bucket0$76,:3,:6001",2014-03-14T09:38:35.300000,MQ,IA2,14.80307,-61.20515,289.0,1311.0,1407.0,1311,100.0,ZNE,train,"bucket1$76,:3,:6001",
96,"bucket0$77,:3,:6001",2014-03-15T01:13:06.040000,MQ,IA2,14.80307,-61.20515,289.0,3546.0,,3546,100.0,ZNE,train,"bucket1$77,:3,:6001",
97,"bucket1$10,:3,:6001",2014-03-15T01:13:20.820000,MQ,LAM,14.81292,-61.16314,1240.0,2080.0,2445.0,2080,100.0,ZNE,test,"bucket0$10,:3,:6001",
98,"bucket0$78,:3,:6001",2014-03-15T01:12:57.349900,MQ,BAM,14.8171,-61.1445,670.0,4457.0,,4457,100.0,ZNE,train,"bucket1$78,:3,:6001",
99,"bucket0$79,:3,:6001",2014-03-15T01:12:55.709900,MQ,GBM,14.799451,-61.159276,800.0,4645.0,4927.0,4645,100.0,ZNE,train,"bucket1$79,:3,:6001",
100,"bucket0$80,:3,:6001",2014-03-15T01:20:04.140000,MQ,LAM,14.81292,-61.16314,1240.0,5353.0,5424.0,5353,100.0,ZNE,train,"bucket1$80,:3,:6001",
101,"bucket0$81,:3,:6001",2014-03-15T01:20:05.159900,MQ,GBM,14.799451,-61.159276,800.0,5273.0,,5273,100.0,ZNE,train,"bucket1$81,:3,:6001",
102,"bucket0$82,:3,:6001",2014-03-15T01:20:52.499900,MQ,BAM,14.8171,-61.1445,670.0,546.0,,546,100.0,ZNE,train,"bucket1$82,:3,:6001",
103,"bucket0$83,:3,:6001",2014-03-15T01:20:44.810000,MQ,IA2,14.80307,-61.20515,289.0,1338.0,1463.0,1338,100.0,ZNE,train,"bucket1$83,:3,:6001",
104,"bucket0$84,:3,:6001",2014-03-15T01:20:52.869900,MQ,MLM,14.7846,-61.1786,370.0,554.0,,554,100.0,ZNE,train,"bucket1$84,:3,:6001",
105,"bucket0$85,:3,:6001",2014-03-15T01:30:42.749900,MQ,GBM,14.799451,-61.159276,800.0,3232.0,,3232,100.0,ZNE,train,"bucket1$85,:3,:6001",
106,"bucket0$86,:3,:6001",2014-03-15T01:30:33.180000,MQ,LAM,14.81292,-61.16314,1240.0,4244.0,4406.0,4244,100.0,ZNE,train,"bucket1$86,:3,:6001",
107,"bucket0$87,:3,:6001",2014-03-15T01:30:56.610000,MQ,IA2,14.80307,-61.20515,289.0,1923.0,2054.0,1923,100.0,ZNE,train,"bucket1$87,:3,:6001",
108,"bucket0$88,:3,:6001",2014-03-15T01:30:58.999900,MQ,BAM,14.8171,-61.1445,670.0,1696.0,,1696,100.0,ZNE,train,"bucket1$88,:3,:6001",
109,"bucket3$9,:3,:6001",2014-03-15T02:13:38.100000,MQ,LAM,14.81292,-61.16314,1240.0,3970.0,,3970,100.0,ZNE,dev,"bucket2$9,:3,:6001",
110,"bucket0$89,:3,:6001",2014-03-15T02:14:10.909900,MQ,GBM,14.799451,-61.159276,800.0,756.0,,756,100.0,ZNE,train,"bucket1$89,:3,:6001",
111,"bucket0$90,:3,:6001",2014-03-15T02:13:45.150000,MQ,IA2,14.80307,-61.20515,289.0,3340.0,,3340,100.0,ZNE,train,"bucket1$90,:3,:6001",
112,"bucket1$11,:3,:6001",2014-03-15T02:13:33.449900,MQ,BAM,14.8171,-61.1445,670.0,4536.0,,4536,100.0,ZNE,test,"bucket0$11,:3,:6001",
113,"bucket0$91,:3,:6001",2014-03-15T02:34:02.169900,MQ,GBM,14.799451,-61.159276,800.0,889.0,,889,100.0,ZNE,train,"bucket1$91,:3,:6001",
114,"bucket0$92,:3,:6001",2014-03-15T02:34:03.700000,MQ,LAM,14.81292,-61.16314,1240.0,749.0,,749,100.0,ZNE,train,"bucket1$92,:3,:6001",
115,"bucket0$93,:3,:6001",2014-03-15T02:33:48.920000,MQ,IA2,14.80307,-61.20515,289.0,2261.0,,2261,100.0,ZNE,train,"bucket1$93,:3,:6001",
116,"bucket0$94,:3,:6001",2014-03-15T02:33:32.329900,MQ,BAM,14.8171,-61.1445,670.0,3928.0,,3928,100.0,ZNE,train,"bucket1$94,:3,:6001",
117,"bucket0$95,:3,:6001",2014-03-15T02:40:28.809900,MQ,GBM,14.799451,-61.159276,800.0,3810.0,3822.0,3810,100.0,ZNE,train,"bucket1$95,:3,:6001",
118,"bucket0$96,:3,:6001",2014-03-15T02:40:18.300000,MQ,LAM,14.81292,-61.16314,1240.0,4882.0,4935.0,4882,100.0,ZNE,train,"bucket1$96,:3,:6001",
119,"bucket0$97,:3,:6001",2014-03-15T02:40:34.259900,MQ,BAM,14.8171,-61.1445,670.0,3304.0,3314.0,3304,100.0,ZNE,train,"bucket1$97,:3,:6001",
120,"bucket0$98,:3,:6001",2014-03-15T02:41:01.680000,MQ,IA2,14.80307,-61.20515,289.0,594.0,701.0,594,100.0,ZNE,train,"bucket1$98,:3,:6001",
121,"bucket1$12,:3,:6001",2014-03-15T03:05:07.589900,MQ,GBM,14.799451,-61.159276,800.0,1297.0,,1297,100.0,ZNE,test,"bucket0$12,:3,:6001",
122,"bucket0$99,:3,:6001",2014-03-15T03:04:38.380000,MQ,LAM,14.81292,-61.16314,1240.0,4224.0,,4224,100.0,ZNE,train,"bucket1$99,:3,:6001",
123,"bucket0$100,:3,:6001",2014-03-15T03:05:01.180000,MQ,IA2,14.80307,-61.20515,289.0,1950.0,2095.0,1950,100.0,ZNE,train,"bucket1$100,:3,:6001",
124,"bucket0$101,:3,:6001",2014-03-15T03:04:43.319900,MQ,BAM,14.8171,-61.1445,670.0,3797.0,,3797,100.0,ZNE,train,"bucket1$101,:3,:6001",
125,"bucket0$102,:3,:6001",2014-03-15T19:54:32.460000,MQ,LAM,14.81292,-61.16314,1240.0,875.0,950.0,875,100.0,ZNE,train,"bucket1$102,:3,:6001",
126,"bucket0$103,:3,:6001",2014-03-15T19:53:47.469900,MQ,BAM,14.8171,-61.1445,670.0,5403.0,,5403,100.0,ZNE,train,"bucket1$103,:3,:6001",
127,"bucket0$104,:3,:6001",2014-03-15T19:54:32.889900,MQ,GBM,14.799451,-61.159276,800.0,868.0,,868,100.0,ZNE,train,"bucket1$104,:3,:6001",
128,"bucket0$105,:3,:6001",2014-03-15T20:04:46.240000,MQ,IA2,14.80307,-61.20515,289.0,5104.0,,5104,100.0,ZNE,train,"bucket1$105,:3,:6001",
129,"bucket0$106,:3,:6001",2014-03-15T20:04:59.579900,MQ,GBM,14.799451,-61.159276,800.0,3832.0,3839.0,3832,100.0,ZNE,train,"bucket1$106,:3,:6001",
130,"bucket0$107,:3,:6001",2014-03-15T20:05:18.540000,MQ,LAM,14.81292,-61.16314,1240.0,1941.0,1971.0,1941,100.0,ZNE,train,"bucket1$107,:3,:6001",
131,"bucket0$108,:3,:6001",2014-03-15T20:05:02.609900,MQ,BAM,14.8171,-61.1445,670.0,3568.0,,3568,100.0,ZNE,train,"bucket1$108,:3,:6001",
132,"bucket0$109,:3,:6001",2014-03-15T20:54:42.349900,MQ,BAM,14.8171,-61.1445,670.0,3273.0,,3273,100.0,ZNE,train,"bucket1$109,:3,:6001",
133,"bucket0$110,:3,:6001",2014-03-15T20:54:56.909900,MQ,GBM,14.799451,-61.159276,800.0,1877.0,,1877,100.0,ZNE,train,"bucket1$110,:3,:6001",
134,"bucket0$111,:3,:6001",2014-03-15T20:54:51.180000,MQ,LAM,14.81292,-61.16314,1240.0,2463.0,2516.0,2463,100.0,ZNE,train,"bucket1$111,:3,:6001",
135,"bucket0$112,:3,:6001",2014-03-15T21:06:50.639900,MQ,GBM,14.799451,-61.159276,800.0,1925.0,,1925,100.0,ZNE,train,"bucket1$112,:3,:6001",
136,"bucket0$113,:3,:6001",2014-03-15T21:06:22.140000,MQ,LAM,14.81292,-61.16314,1240.0,4806.0,4894.0,4806,100.0,ZNE,train,"bucket1$113,:3,:6001",
137,"bucket1$13,:3,:6001",2014-03-15T21:06:26.679900,MQ,BAM,14.8171,-61.1445,670.0,4385.0,,4385,100.0,ZNE,test,"bucket0$13,:3,:6001",
138,"bucket0$114,:3,:6001",2014-03-15T21:53:37.770000,MQ,LAM,14.81292,-61.16314,1240.0,2391.0,2448.0,2391,100.0,ZNE,train,"bucket1$114,:3,:6001",
139,"bucket0$115,:3,:6001",2014-03-15T21:53:41.089900,MQ,GBM,14.799451,-61.159276,800.0,2113.0,,2113,100.0,ZNE,train,"bucket1$115,:3,:6001",
140,"bucket0$116,:3,:6001",2014-03-15T21:53:33.369900,MQ,BAM,14.8171,-61.1445,670.0,3003.0,,3003,100.0,ZNE,train,"bucket1$116,:3,:6001",
141,"bucket0$117,:3,:6001",2014-03-15T22:42:11.690000,MQ,LAM,14.81292,-61.16314,1240.0,3640.0,3718.0,3640,100.0,ZNE,train,"bucket1$117,:3,:6001",
142,"bucket0$118,:3,:6001",2014-03-15T22:42:11.979900,MQ,BAM,14.8171,-61.1445,670.0,3645.0,,3645,100.0,ZNE,train,"bucket1$118,:3,:6001",
143,"bucket1$14,:3,:6001",2014-03-15T22:42:13.989900,MQ,GBM,14.799451,-61.159276,800.0,3450.0,,3450,100.0,ZNE,test,"bucket0$14,:3,:6001",
144,"bucket0$119,:3,:6001",2014-03-15T22:09:54.770000,MQ,LAM,14.81292,-61.16314,1240.0,1709.0,2428.0,1709,100.0,ZNE,train,"bucket1$119,:3,:6001",
145,"bucket0$120,:3,:6001",2014-03-15T22:09:43.669900,MQ,GBM,14.799451,-61.159276,800.0,2840.0,3598.0,2840,100.0,ZNE,train,"bucket1$120,:3,:6001",
