trace_name,trace_start_time,station_network_code,station_code,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,name,trace_name_original
"bucket0$14,:3,:6001",2014-02-20T08:01:03.250000,MQ,LAM,3000,3410.0,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140220_080133
"bucket0$15,:3,:6001",2014-02-20T08:01:01.980000,MQ,SAM,3000,3185.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_080131
"bucket0$16,:3,:6001",2014-02-20T08:17:34.899900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_081804
"bucket0$17,:3,:6001",2014-02-20T08:17:38.949900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_081808
"bucket0$18,:3,:6001",2014-02-20T08:17:30.740000,MQ,SAM,3000,3219.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_081800
"bucket0$19,:3,:6001",2014-02-20T08:21:21.829900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_082151
"bucket0$20,:3,:6001",2014-02-20T08:21:23.369900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_082153
MQ_IA2_GOLD_20140220_082144,2014-02-20T08:21:18.750000,MQ,IA2,2616,2775.0,2616,100.0,ZNE,train,gold,
"bucket6$2,:3,:6001",2014-02-20T08:21:24.640000,MQ,SAM,3000,,3000,100.0,ZNE,test,gold,MQ_SAM_GOLD_20140220_082154
"bucket0$21,:3,:6001",2014-02-20T08:35:33.239900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_083603
"bucket0$22,:3,:5700",2014-02-20T08:35:36.750000,MQ,IA2,2942,3095.0,2942,100.0,ZNE,train,gold,MQ_IA2_GOLD_20140220_083606
"bucket0$23,:3,:6001",2014-02-20T08:35:26.239900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_083556
"bucket0$24,:3,:6001",2014-02-20T08:35:30.990000,MQ,SAM,3000,3177.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_083600
"bucket0$25,:3,:6001",2014-02-20T09:01:25.459900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_090155
"bucket9$0,:3,:5724",2014-02-20T09:01:32.750000,MQ,IA2,2723,2916.0,2723,100.0,ZNE,dev,gold,MQ_IA2_GOLD_20140220_090159
"bucket6$3,:3,:6001",2014-02-20T09:01:26.060000,MQ,LAM,3000,3218.0,3000,100.0,ZNE,test,gold,MQ_LAM_GOLD_20140220_090156
"bucket9$1,:3,:6001",2014-02-20T09:01:27.309900,MQ,MLM,3000,,3000,100.0,ZNE,dev,gold,MQ_MLM_GOLD_20140220_090157
"bucket6$4,:3,:6001",2014-02-20T09:08:04.649900,MQ,BAM,3000,,3000,100.0,ZNE,test,gold,MQ_BAM_GOLD_20140220_090834
"bucket0$26,:3,:6001",2014-02-20T09:08:07.790000,MQ,LAM,3000,,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140220_090837
"bucket0$27,:3,:6001",2014-02-20T09:07:59.849900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_090829
"bucket0$28,:3,:6001",2014-02-20T09:22:11.519900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_092241
"bucket0$29,:3,:6001",2014-02-20T09:22:05.659900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_092235
"bucket6$5,:3,:6001",2014-02-20T09:22:14.590000,MQ,SAM,3000,3164.0,3000,100.0,ZNE,test,gold,MQ_SAM_GOLD_20140220_092244
"bucket0$30,:3,:6001",2014-02-20T09:40:45.259900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_094115
"bucket6$6,:3,:6001",2014-02-20T09:40:44.159900,MQ,CPM,3000,,3000,100.0,ZNE,test,gold,MQ_CPM_GOLD_20140220_094114
"bucket0$31,:3,:6001",2014-02-20T09:40:39.959900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_094109
"bucket0$32,:3,:6001",2014-02-20T09:59:51.049900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_100021
"bucket9$2,:3,:6001",2014-02-20T09:59:46.919900,MQ,CPM,3000,,3000,100.0,ZNE,dev,gold,MQ_CPM_GOLD_20140220_100016
"bucket7$1,:3,:3300",2014-02-20T10:00:02.750000,MQ,IA2,1013,1236.0,1013,100.0,ZNE,train,gold,MQ_IA2_GOLD_20140220_100012
"bucket0$33,:3,:6001",2014-02-20T09:59:52.409900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_100022
"bucket0$34,:3,:6001",2014-02-20T10:06:45.279900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_100715
"bucket0$35,:3,:6001",2014-02-20T10:06:44.719900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_100714
"bucket0$36,:3,:6001",2014-02-20T10:06:47.609900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_100717
"bucket0$37,:3,:6001",2014-02-20T10:06:41.140000,MQ,SAM,3000,,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_100711
"bucket0$38,:3,:6001",2014-02-20T10:23:04.499900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_102334
"bucket0$39,:3,:6001",2014-02-20T10:23:09.919900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_102339
"bucket0$40,:3,:6001",2014-02-20T10:23:08.649900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_102338
"bucket6$7,:3,:6001",2014-02-20T10:39:20.939900,MQ,GBM,3000,,3000,100.0,ZNE,test,gold,MQ_GBM_GOLD_20140220_103950
"bucket0$41,:3,:6001",2014-02-20T10:39:19.470000,MQ,LAM,3000,3236.0,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140220_103949
"bucket0$42,:3,:6001",2014-02-20T10:39:26.079900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_103956
"bucket6$8,:3,:6001",2014-02-20T11:12:15.039900,MQ,BAM,3000,,3000,100.0,ZNE,test,gold,MQ_BAM_GOLD_20140220_111245
"bucket0$43,:3,:6001",2014-02-20T11:12:15.179900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_111245
"bucket9$3,:3,:6001",2014-02-20T11:12:10.209900,MQ,GBM,3000,,3000,100.0,ZNE,dev,gold,MQ_GBM_GOLD_20140220_111240
"bucket0$44,:3,:6001",2014-02-20T11:12:17.939900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_111247
"bucket0$45,:3,:6001",2014-02-20T11:12:45.039900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_111315
"bucket0$46,:3,:6001",2014-02-20T11:12:45.559900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_111315
"bucket0$47,:3,:6001",2014-02-20T11:12:50.449900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_111320
"bucket0$48,:3,:6001",2014-02-20T11:24:53.599900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_112523
"bucket6$9,:3,:6001",2014-02-20T11:24:54.039900,MQ,MLM,3000,,3000,100.0,ZNE,test,gold,MQ_MLM_GOLD_20140220_112524
"bucket0$49,:3,:6001",2014-02-20T11:24:52.250000,MQ,SAM,3000,3224.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_112522
"bucket0$50,:3,:6001",2014-02-20T11:32:46.409900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_113316
"bucket0$51,:3,:6001",2014-02-20T11:32:52.409900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_113322
"bucket0$52,:3,:6001",2014-02-20T11:32:53.080000,MQ,SAM,3000,3153.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_113323
"bucket0$53,:3,:6001",2014-02-20T12:00:34.599900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_120104
"bucket6$10,:3,:6001",2014-02-20T12:00:31.809900,MQ,CPM,3000,,3000,100.0,ZNE,test,gold,MQ_CPM_GOLD_20140220_120101
"bucket0$54,:3,:6001",2014-02-20T12:00:31.509900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_120101
"bucket0$55,:3,:6001",2014-02-20T12:57:42.119900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_125812
"bucket0$56,:3,:6001",2014-02-20T12:57:34.030000,MQ,LAM,3000,,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140220_125804
"bucket0$57,:3,:6001",2014-02-20T12:57:36.389900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_125806
"bucket0$58,:3,:6001",2014-02-20T12:57:41.260000,MQ,SAM,3000,3174.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_125811
"bucket6$11,:3,:6001",2014-02-20T13:09:10.739900,MQ,BAM,3000,,3000,100.0,ZNE,test,gold,MQ_BAM_GOLD_20140220_130940
"bucket9$4,:3,:6001",2014-02-20T13:09:16.559900,MQ,CPM,3000,,3000,100.0,ZNE,dev,gold,MQ_CPM_GOLD_20140220_130946
"bucket0$59,:3,:6001",2014-02-20T13:09:18.819900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_130948
"bucket9$5,:3,:6001",2014-02-20T13:15:55.119900,MQ,BAM,3000,,3000,100.0,ZNE,dev,gold,MQ_BAM_GOLD_20140220_131625
"bucket0$60,:3,:6001",2014-02-20T13:15:53.029900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_131623
"bucket0$61,:3,:6001",2014-02-20T13:15:56.849900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_131626
"bucket0$62,:3,:6001",2014-02-20T13:17:13.049900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_131743
"bucket0$63,:3,:6001",2014-02-20T13:17:08.419900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_131738
"bucket6$12,:3,:6001",2014-02-20T13:17:09.339900,MQ,MLM,3000,,3000,100.0,ZNE,test,gold,MQ_MLM_GOLD_20140220_131739
"bucket0$64,:3,:6001",2014-02-20T13:21:22.649900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_132152
"bucket0$65,:3,:6001",2014-02-20T13:21:25.429900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_132155
"bucket6$13,:3,:6001",2014-02-20T13:21:23.030000,MQ,LAM,3000,,3000,100.0,ZNE,test,gold,MQ_LAM_GOLD_20140220_132153
"bucket0$66,:3,:6001",2014-02-20T13:22:47.689900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_132317
"bucket0$67,:3,:6001",2014-02-20T13:22:41.759900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_132311
"bucket6$14,:3,:6001",2014-02-20T13:22:46.349900,MQ,MLM,3000,,3000,100.0,ZNE,test,gold,MQ_MLM_GOLD_20140220_132316
"bucket6$15,:3,:6001",2014-02-20T13:22:45.110000,MQ,SAM,3000,3097.0,3000,100.0,ZNE,test,gold,MQ_SAM_GOLD_20140220_132315
"bucket0$68,:3,:6001",2014-02-20T13:25:08.539900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_132538
"bucket9$6,:3,:6001",2014-02-20T13:25:07.819900,MQ,GBM,3000,,3000,100.0,ZNE,dev,gold,MQ_GBM_GOLD_20140220_132537
"bucket0$69,:3,:6001",2014-02-20T13:25:05.049900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_132535
"bucket0$70,:3,:6001",2014-02-20T13:26:56.729900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_132726
"bucket0$71,:3,:6001",2014-02-20T13:27:00.659900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_132730
"bucket0$72,:3,:6001",2014-02-20T13:26:55.620000,MQ,SAM,3000,,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_132725
"bucket0$73,:3,:6001",2014-02-20T13:28:34.269900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_132904
"bucket0$74,:3,:6001",2014-02-20T13:28:31.769900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_132901
"bucket0$75,:3,:6001",2014-02-20T13:28:30.939900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_132900
"bucket0$76,:3,:6001",2014-02-20T13:37:18.779900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_133748
"bucket0$77,:3,:6001",2014-02-20T13:37:19.639900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_133749
"bucket0$78,:3,:6001",2014-02-20T13:37:19.780000,MQ,SAM,3000,,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_133749
"bucket0$79,:3,:6001",2014-02-20T14:03:19.189900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_140349
"bucket6$16,:3,:6001",2014-02-20T14:03:27.179900,MQ,CPM,3000,,3000,100.0,ZNE,test,gold,MQ_CPM_GOLD_20140220_140357
"bucket9$7,:3,:6001",2014-02-20T14:03:18.309900,MQ,GBM,3000,,3000,100.0,ZNE,dev,gold,MQ_GBM_GOLD_20140220_140348
"bucket0$80,:3,:6001",2014-02-20T14:03:25.979900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_140355
"bucket6$17,:3,:6001",2014-02-20T14:07:38.559900,MQ,BAM,3000,,3000,100.0,ZNE,test,gold,MQ_BAM_GOLD_20140220_140808
"bucket0$81,:3,:6001",2014-02-20T14:07:40.679900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_140810
"bucket0$82,:3,:6001",2014-02-20T14:07:42.199900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_140812
"bucket0$83,:3,:6001",2014-02-20T14:07:46.649900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_140816
"bucket0$84,:3,:6001",2014-02-20T14:08:47.029900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_140917
"bucket0$85,:3,:6001",2014-02-20T14:08:44.879900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_140914
"bucket0$86,:3,:6001",2014-02-20T14:08:46.589900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_140916
"bucket0$87,:3,:6001",2014-02-20T14:08:41.519900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_140911
"bucket0$88,:3,:6001",2014-02-20T14:28:21.919900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140220_142851
"bucket0$89,:3,:6001",2014-02-20T14:28:15.549900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_142845
"bucket0$90,:3,:6001",2014-02-20T14:28:17.849900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_142847
"bucket0$91,:3,:6001",2014-02-20T21:18:49.299900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_211919
"bucket9$8,:3,:6001",2014-02-20T21:18:49.269900,MQ,CPM,3000,,3000,100.0,ZNE,dev,gold,MQ_CPM_GOLD_20140220_211919
"bucket0$92,:3,:6001",2014-02-20T21:18:49.349900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_211919
"bucket0$93,:3,:6001",2014-02-20T21:18:49.740000,MQ,IA2,3000,3021.0,3000,100.0,ZNE,train,gold,MQ_IA2_GOLD_20140220_211919
"bucket0$94,:3,:6001",2014-02-20T21:19:06.529900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140220_211936
"bucket0$95,:3,:6001",2014-02-20T21:19:05.709900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140220_211935
"bucket0$96,:3,:6001",2014-02-20T21:19:04.670000,MQ,LAM,3000,3052.0,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140220_211934
"bucket0$97,:3,:6001",2014-02-20T21:19:10.489900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140220_211940
"bucket0$98,:3,:6001",2014-02-20T21:19:12.080000,MQ,SAM,3000,,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140220_211942
"bucket9$9,:3,:6001",2014-02-21T07:00:09.609900,MQ,BAM,3000,,3000,100.0,ZNE,dev,gold,MQ_BAM_GOLD_20140221_070039
"bucket0$99,:3,:6001",2014-02-21T07:00:09.299900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140221_070039
"bucket0$100,:3,:6001",2014-02-21T07:00:09.359900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140221_070039
"bucket0$101,:3,:6001",2014-02-21T07:00:08.990000,MQ,LAM,3000,3221.0,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140221_070038
"bucket0$102,:3,:6001",2014-02-21T07:00:09.779900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140221_070039
"bucket6$18,:3,:6001",2014-02-21T07:00:09.650000,MQ,SAM,3000,3202.0,3000,100.0,ZNE,test,gold,MQ_SAM_GOLD_20140221_070039
"bucket0$103,:3,:6001",2014-02-21T08:35:06.859900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140221_083536
"bucket0$104,:3,:6001",2014-02-21T08:35:06.489900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140221_083536
"bucket0$105,:3,:6001",2014-02-21T08:35:07.320000,MQ,IA2,3000,3210.0,3000,100.0,ZNE,train,gold,MQ_IA2_GOLD_20140221_083537
"bucket0$106,:3,:6001",2014-02-21T08:35:08.120000,MQ,SAM,3000,3139.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140221_083538
"bucket0$107,:3,:6001",2014-02-21T09:04:29.919900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140221_090459
"bucket0$108,:3,:6001",2014-02-21T09:04:21.639900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140221_090451
"bucket0$109,:3,:6001",2014-02-21T09:04:29.509900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140221_090459
"bucket0$110,:3,:6001",2014-02-21T09:04:24.629900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140221_090454
"bucket0$111,:3,:6001",2014-02-21T09:07:29.709900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140221_090759
"bucket9$10,:3,:6001",2014-02-21T09:07:24.669900,MQ,CPM,3000,,3000,100.0,ZNE,dev,gold,MQ_CPM_GOLD_20140221_090754
"bucket0$112,:3,:6001",2014-02-21T09:07:25.660000,MQ,LAM,3000,,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140221_090755
"bucket0$113,:3,:6001",2014-02-21T09:07:28.239900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140221_090758
"bucket9$11,:3,:6001",2014-02-21T11:53:36.399900,MQ,BAM,3000,,3000,100.0,ZNE,dev,gold,MQ_BAM_GOLD_20140221_115406
"bucket0$114,:3,:6001",2014-02-21T11:53:44.889900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140221_115414
"bucket6$19,:3,:6001",2014-02-21T11:53:43.189900,MQ,GBM,3000,,3000,100.0,ZNE,test,gold,MQ_GBM_GOLD_20140221_115413
"bucket9$12,:3,:6001",2014-02-21T11:53:39.839900,MQ,MLM,3000,,3000,100.0,ZNE,dev,gold,MQ_MLM_GOLD_20140221_115409
"bucket0$115,:3,:6001",2014-02-21T11:53:57.279900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140221_115427
"bucket0$116,:3,:6001",2014-02-21T11:53:59.369900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140221_115429
"bucket6$20,:3,:6001",2014-02-21T11:53:58.300000,MQ,IA2,3000,3023.0,3000,100.0,ZNE,test,gold,MQ_IA2_GOLD_20140221_115428
"bucket6$21,:3,:6001",2014-02-21T11:54:03.579900,MQ,MLM,3000,,3000,100.0,ZNE,test,gold,MQ_MLM_GOLD_20140221_115433
"bucket0$117,:3,:6001",2014-02-21T11:54:01.810000,MQ,SAM,3000,3122.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140221_115431
"bucket0$118,:3,:6001",2014-02-21T11:54:30.939900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140221_115500
"bucket0$119,:3,:6001",2014-02-21T11:54:31.589900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140221_115501
"bucket0$120,:3,:6001",2014-02-21T11:54:32.320000,MQ,LAM,3000,3209.0,3000,100.0,ZNE,train,gold,MQ_LAM_GOLD_20140221_115502
"bucket0$121,:3,:6001",2014-02-21T11:54:26.719900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140221_115456
"bucket0$122,:3,:6001",2014-02-21T12:28:24.949900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140221_122854
"bucket0$123,:3,:6001",2014-02-21T12:28:16.749900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140221_122846
"bucket0$124,:3,:6001",2014-02-21T12:28:25.769900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140221_122855
"bucket0$125,:3,:6001",2014-02-21T12:28:19.399900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140221_122849
"bucket0$126,:3,:6001",2014-02-21T12:54:09.219900,MQ,BAM,3000,,3000,100.0,ZNE,train,gold,MQ_BAM_GOLD_20140221_125439
"bucket0$127,:3,:6001",2014-02-21T12:54:08.809900,MQ,GBM,3000,,3000,100.0,ZNE,train,gold,MQ_GBM_GOLD_20140221_125438
"bucket0$128,:3,:6001",2014-02-21T12:54:03.469900,MQ,MLM,3000,,3000,100.0,ZNE,train,gold,MQ_MLM_GOLD_20140221_125433
"bucket0$129,:3,:6001",2014-02-21T12:54:06.370000,MQ,SAM,3000,3133.0,3000,100.0,ZNE,train,gold,MQ_SAM_GOLD_20140221_125436
"bucket9$13,:3,:6001",2014-02-21T13:04:06.739900,MQ,BAM,3000,,3000,100.0,ZNE,dev,gold,MQ_BAM_GOLD_20140221_130436
"bucket0$130,:3,:6001",2014-02-21T13:04:08.689900,MQ,CPM,3000,,3000,100.0,ZNE,train,gold,MQ_CPM_GOLD_20140221_130438
