MQ.CPM.91.EHZ | 2014-02-19T23:59:59.999900Z - 2014-02-20T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-25T23:59:59.999900Z - 2014-03-26T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-26T23:59:59.999900Z - 2014-03-27T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-27T23:59:59.999900Z - 2014-03-28T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-28T23:59:59.999900Z - 2014-03-29T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-29T23:59:59.999900Z - 2014-03-30T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-30T23:59:59.999900Z - 2014-03-31T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-03-31T23:59:59.999900Z - 2014-04-01T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-01T23:59:59.999900Z - 2014-04-02T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-02T23:59:59.999900Z - 2014-04-03T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-03T23:59:59.999900Z - 2014-04-04T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-04T23:59:59.999900Z - 2014-04-05T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-05T23:59:59.999900Z - 2014-04-06T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-06T23:59:59.999900Z - 2014-04-07T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-07T23:59:59.999900Z - 2014-04-08T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-08T23:59:59.999900Z - 2014-04-09T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-09T23:59:59.999900Z - 2014-04-10T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-10T23:59:59.999900Z - 2014-04-11T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-11T23:59:59.999900Z - 2014-04-12T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-12T23:59:59.999900Z - 2014-04-13T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-13T23:59:59.999900Z - 2014-04-14T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-14T23:59:59.999900Z - 2014-04-15T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-15T23:59:59.999900Z - 2014-04-16T13:25:29.719900Z | 100.0 Hz, 4832973 samples
MQ.CPM.91.EHZ | 2014-04-16T23:59:59.999900Z - 2014-04-17T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-17T23:59:59.999900Z - 2014-04-18T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-18T23:59:59.999900Z - 2014-04-19T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-19T23:59:59.999900Z - 2014-04-20T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-20T23:59:59.999900Z - 2014-04-21T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-21T23:59:59.999900Z - 2014-04-22T14:08:07.719900Z | 100.0 Hz, 5088773 samples
MQ.CPM.91.EHZ | 2014-04-22T23:59:59.999900Z - 2014-04-23T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-23T23:59:59.999900Z - 2014-04-24T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-24T23:59:59.999900Z - 2014-04-25T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-25T23:59:59.999900Z - 2014-04-26T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-26T23:59:59.999900Z - 2014-04-27T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-27T23:59:59.999900Z - 2014-04-28T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-28T23:59:59.999900Z - 2014-04-29T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-29T23:59:59.999900Z - 2014-04-30T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-04-30T23:59:59.999900Z - 2014-05-01T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-01T23:59:59.999900Z - 2014-05-02T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-02T23:59:59.999900Z - 2014-05-03T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-03T23:59:59.999900Z - 2014-05-04T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-04T23:59:59.999900Z - 2014-05-05T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-05T23:59:59.999900Z - 2014-05-06T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-06T23:59:59.999900Z - 2014-05-07T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-07T23:59:59.999900Z - 2014-05-08T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-08T23:59:59.999900Z - 2014-05-09T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-09T23:59:59.999900Z - 2014-05-10T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-10T23:59:59.999900Z - 2014-05-11T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-11T23:59:59.999900Z - 2014-05-12T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-12T23:59:59.999900Z - 2014-05-13T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-13T23:59:59.999900Z - 2014-05-14T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-14T23:59:59.999900Z - 2014-05-15T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-15T23:59:59.999900Z - 2014-05-16T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-16T23:59:59.999900Z - 2014-05-17T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-17T23:59:59.999900Z - 2014-05-18T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-18T23:59:59.999900Z - 2014-05-19T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-19T23:59:59.999900Z - 2014-05-20T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-20T23:59:59.999900Z - 2014-05-21T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-21T23:59:59.999900Z - 2014-05-22T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-22T23:59:59.999900Z - 2014-05-23T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-23T23:59:59.999900Z - 2014-05-24T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-24T23:59:59.999900Z - 2014-05-25T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-25T23:59:59.999900Z - 2014-05-26T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-26T23:59:59.999900Z - 2014-05-27T23:59:59.999900Z | 100.0 Hz, 8640001 samples
MQ.CPM.91.EHZ | 2014-05-27T23:59:59.999900Z - 2014-05-28T19:54:52.719900Z | 100.0 Hz, 7169273 samples
MQ.CPM.91.EHZ | 2014-05-29T00:00:00.000000Z - 2014-05-29T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.CPM.91.EHZ | 2014-05-30T00:00:00.000000Z - 2014-05-30T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.CPM.91.EHZ | 2014-05-31T00:00:00.000000Z - 2014-05-31T23:59:59.990000Z | 100.0 Hz, 8640000 samples
