trace_name,trace_start_time,station_network_code,station_code,station_latitude_deg,station_longitude_deg,station_elevation_m,trace_p_arrival_sample,trace_s_arrival_sample,center_sample,trace_sampling_rate_hz,trace_component_order,split,trace_name_original
"bucket1$56,:3,:6001",2014-03-13T23:04:06.539900,MQ,GBM,14.799451,-61.159276,800.0,5097.0,,5097,100.0,ZNE,train,MQ_GBM_20140313_230457
"bucket2$10,:3,:6001",2014-03-13T23:04:03.839900,MQ,BAM,14.8171,-61.1445,670.0,5406.0,,5406,100.0,ZNE,test,MQ_BAM_20140313_230457
"bucket1$57,:3,:6001",2014-03-14T00:09:00.840000,MQ,LAM,14.81292,-61.16314,1240.0,2263.0,,2263,100.0,ZNE,train,MQ_LAM_20140314_000923
"bucket0$8,:3,:6001",2014-03-14T00:08:43.359900,MQ,GBM,14.799451,-61.159276,800.0,4024.0,,4024,100.0,ZNE,dev,MQ_GBM_20140314_000923
"bucket1$58,:3,:6001",2014-03-14T00:08:52.389900,MQ,CPM,14.8168,-61.2074,242.0,3141.0,,3141,100.0,ZNE,train,MQ_CPM_20140314_000923
"bucket1$59,:3,:6001",2014-03-14T00:09:16.029900,MQ,BAM,14.8171,-61.1445,670.0,790.0,,790,100.0,ZNE,train,MQ_BAM_20140314_000923
"bucket1$60,:3,:6001",2014-03-14T00:09:03.140000,MQ,IA2,14.80307,-61.20515,289.0,2202.0,,2202,100.0,ZNE,train,MQ_IA2_20140314_000925
"bucket1$61,:3,:6001",2014-03-14T00:12:16.930000,MQ,LAM,14.81292,-61.16314,1240.0,2725.0,2796.0,2725,100.0,ZNE,train,MQ_LAM_20140314_001244
"bucket1$62,:3,:6001",2014-03-14T00:12:36.249900,MQ,GBM,14.799451,-61.159276,800.0,832.0,,832,100.0,ZNE,train,MQ_GBM_20140314_001244
"bucket1$63,:3,:6001",2014-03-14T00:12:08.239900,MQ,BAM,14.8171,-61.1445,670.0,3648.0,,3648,100.0,ZNE,train,MQ_BAM_20140314_001244
"bucket1$64,:3,:6001",2014-03-14T00:12:22.570000,MQ,IA2,14.80307,-61.20515,289.0,2255.0,,2255,100.0,ZNE,train,MQ_IA2_20140314_001245
"bucket1$65,:3,:6001",2014-03-14T00:15:23,MQ,LAM,14.81292,-61.16314,1240.0,3665.0,3730.0,3665,100.0,ZNE,train,MQ_LAM_20140314_001559
"bucket2$11,:3,:6001",2014-03-14T00:15:08.219900,MQ,GBM,14.799451,-61.159276,800.0,5172.0,,5172,100.0,ZNE,test,MQ_GBM_20140314_001559
"bucket1$66,:3,:6001",2014-03-14T00:15:18.449900,MQ,BAM,14.8171,-61.1445,670.0,4187.0,,4187,100.0,ZNE,train,MQ_BAM_20140314_001600
"bucket1$67,:3,:6001",2014-03-14T00:15:24.730000,MQ,IA2,14.80307,-61.20515,289.0,3586.0,3655.0,3586,100.0,ZNE,train,MQ_IA2_20140314_001600
"bucket0$9,:3,:6001",2014-03-14T09:36:08.550000,MQ,LAM,14.81292,-61.16314,1240.0,2590.0,2641.0,2590,100.0,ZNE,dev,MQ_LAM_20140314_093634
"bucket1$68,:3,:6001",2014-03-14T09:35:50.929900,MQ,BAM,14.8171,-61.1445,670.0,4392.0,,4392,100.0,ZNE,train,MQ_BAM_20140314_093634
"bucket1$69,:3,:6001",2014-03-14T09:36:01.349900,MQ,GBM,14.799451,-61.159276,800.0,3372.0,,3372,100.0,ZNE,train,MQ_GBM_20140314_093635
"bucket1$70,:3,:6001",2014-03-14T09:37:56.549900,MQ,GBM,14.799451,-61.159276,800.0,5136.0,,5136,100.0,ZNE,train,MQ_GBM_20140314_093847
"bucket1$71,:3,:6001",2014-03-14T09:38:34.330000,MQ,LAM,14.81292,-61.16314,1240.0,1361.0,1410.0,1361,100.0,ZNE,train,MQ_LAM_20140314_093847
"bucket1$72,:3,:6001",2014-03-14T09:37:56.759900,MQ,BAM,14.8171,-61.1445,670.0,5151.0,,5151,100.0,ZNE,train,MQ_BAM_20140314_093848
"bucket1$73,:3,:6001",2014-03-14T09:38:14.320000,MQ,IA2,14.80307,-61.20515,289.0,3409.0,3505.0,3409,100.0,ZNE,train,MQ_IA2_20140314_093848
"bucket1$74,:3,:6001",2014-03-15T01:13:34.490000,MQ,IA2,14.80307,-61.20515,289.0,701.0,,701,100.0,ZNE,train,MQ_IA2_20140315_011341
"bucket1$75,:3,:6001",2014-03-15T01:13:00.070000,MQ,LAM,14.81292,-61.16314,1240.0,4155.0,4520.0,4155,100.0,ZNE,train,MQ_LAM_20140315_011341
"bucket1$76,:3,:6001",2014-03-15T01:13:36.029900,MQ,BAM,14.8171,-61.1445,670.0,589.0,,589,100.0,ZNE,train,MQ_BAM_20140315_011341
"bucket1$77,:3,:6001",2014-03-15T01:12:58.319900,MQ,GBM,14.799451,-61.159276,800.0,4384.0,4666.0,4384,100.0,ZNE,train,MQ_GBM_20140315_011342
"bucket1$78,:3,:6001",2014-03-15T01:20:19.270000,MQ,LAM,14.81292,-61.16314,1240.0,3840.0,3911.0,3840,100.0,ZNE,train,MQ_LAM_20140315_012057
"bucket1$79,:3,:6001",2014-03-15T01:20:42.989900,MQ,GBM,14.799451,-61.159276,800.0,1490.0,,1490,100.0,ZNE,train,MQ_GBM_20140315_012057
"bucket1$80,:3,:6001",2014-03-15T01:20:24.699900,MQ,BAM,14.8171,-61.1445,670.0,3326.0,,3326,100.0,ZNE,train,MQ_BAM_20140315_012057
"bucket1$81,:3,:6001",2014-03-15T01:20:45.200000,MQ,IA2,14.80307,-61.20515,289.0,1299.0,1424.0,1299,100.0,ZNE,train,MQ_IA2_20140315_012058
"bucket1$82,:3,:6001",2014-03-15T01:20:15.279900,MQ,MLM,14.7846,-61.1786,370.0,4313.0,,4313,100.0,ZNE,train,MQ_MLM_20140315_012058
"bucket1$83,:3,:6001",2014-03-15T01:30:52.909900,MQ,GBM,14.799451,-61.159276,800.0,2216.0,,2216,100.0,ZNE,train,MQ_GBM_20140315_013115
"bucket1$84,:3,:6001",2014-03-15T01:31:03.590000,MQ,LAM,14.81292,-61.16314,1240.0,1203.0,1365.0,1203,100.0,ZNE,train,MQ_LAM_20140315_013115
"bucket1$85,:3,:6001",2014-03-15T01:30:37.980000,MQ,IA2,14.80307,-61.20515,289.0,3786.0,3917.0,3786,100.0,ZNE,train,MQ_IA2_20140315_013115
"bucket1$86,:3,:6001",2014-03-15T01:30:54.449900,MQ,BAM,14.8171,-61.1445,670.0,2151.0,,2151,100.0,ZNE,train,MQ_BAM_20140315_013115
"bucket1$87,:3,:6001",2014-03-15T02:13:56.930000,MQ,LAM,14.81292,-61.16314,1240.0,2087.0,,2087,100.0,ZNE,train,MQ_LAM_20140315_021417
"bucket0$10,:3,:6001",2014-03-15T02:13:25.529900,MQ,GBM,14.799451,-61.159276,800.0,5294.0,,5294,100.0,ZNE,dev,MQ_GBM_20140315_021418
"bucket1$88,:3,:6001",2014-03-15T02:13:42.580000,MQ,IA2,14.80307,-61.20515,289.0,3597.0,,3597,100.0,ZNE,train,MQ_IA2_20140315_021418
"bucket1$89,:3,:6001",2014-03-15T02:14:00.829900,MQ,BAM,14.8171,-61.1445,670.0,1798.0,,1798,100.0,ZNE,train,MQ_BAM_20140315_021418
"bucket2$12,:3,:6001",2014-03-15T02:33:23.389900,MQ,GBM,14.799451,-61.159276,800.0,4767.0,,4767,100.0,ZNE,test,MQ_GBM_20140315_023411
"bucket1$90,:3,:6001",2014-03-15T02:33:16.280000,MQ,LAM,14.81292,-61.16314,1240.0,5491.0,,5491,100.0,ZNE,train,MQ_LAM_20140315_023411
"bucket1$91,:3,:6001",2014-03-15T02:33:41.440000,MQ,IA2,14.80307,-61.20515,289.0,3009.0,,3009,100.0,ZNE,train,MQ_IA2_20140315_023411
"bucket1$92,:3,:6001",2014-03-15T02:33:35.149900,MQ,BAM,14.8171,-61.1445,670.0,3646.0,,3646,100.0,ZNE,train,MQ_BAM_20140315_023411
"bucket1$93,:3,:6001",2014-03-15T02:40:54.809900,MQ,GBM,14.799451,-61.159276,800.0,1210.0,1222.0,1210,100.0,ZNE,train,MQ_GBM_20140315_024106
"bucket1$94,:3,:6001",2014-03-15T02:40:25.260000,MQ,LAM,14.81292,-61.16314,1240.0,4186.0,4239.0,4186,100.0,ZNE,train,MQ_LAM_20140315_024107
"bucket1$95,:3,:6001",2014-03-15T02:40:32.699900,MQ,BAM,14.8171,-61.1445,670.0,3460.0,3470.0,3460,100.0,ZNE,train,MQ_BAM_20140315_024107
"bucket1$96,:3,:6001",2014-03-15T02:40:44.010000,MQ,IA2,14.80307,-61.20515,289.0,2361.0,2468.0,2361,100.0,ZNE,train,MQ_IA2_20140315_024107
"bucket1$97,:3,:6001",2014-03-15T03:04:27.809900,MQ,GBM,14.799451,-61.159276,800.0,5275.0,,5275,100.0,ZNE,train,MQ_GBM_20140315_030520
"bucket1$98,:3,:6001",2014-03-15T03:05:08.110000,MQ,LAM,14.81292,-61.16314,1240.0,1251.0,,1251,100.0,ZNE,train,MQ_LAM_20140315_030520
"bucket2$13,:3,:6001",2014-03-15T03:05:12.660000,MQ,IA2,14.80307,-61.20515,289.0,802.0,947.0,802,100.0,ZNE,test,MQ_IA2_20140315_030520
"bucket2$14,:3,:6001",2014-03-15T03:04:54.129900,MQ,BAM,14.8171,-61.1445,670.0,2716.0,,2716,100.0,ZNE,test,MQ_BAM_20140315_030521
"bucket1$99,:3,:6001",2014-03-15T19:54:16.580000,MQ,LAM,14.81292,-61.16314,1240.0,2463.0,2538.0,2463,100.0,ZNE,train,MQ_LAM_20140315_195441
"bucket1$100,:3,:6001",2014-03-15T19:54:17.429900,MQ,BAM,14.8171,-61.1445,670.0,2407.0,,2407,100.0,ZNE,train,MQ_BAM_20140315_195441
"bucket1$101,:3,:6001",2014-03-15T19:54:31.179900,MQ,GBM,14.799451,-61.159276,800.0,1039.0,,1039,100.0,ZNE,train,MQ_GBM_20140315_195441
"bucket1$102,:3,:6001",2014-03-15T20:05:00.150000,MQ,IA2,14.80307,-61.20515,289.0,3713.0,,3713,100.0,ZNE,train,MQ_IA2_20140315_200537
"bucket1$103,:3,:6001",2014-03-15T20:05:01.529900,MQ,GBM,14.799451,-61.159276,800.0,3637.0,3644.0,3637,100.0,ZNE,train,MQ_GBM_20140315_200537
"bucket1$104,:3,:6001",2014-03-15T20:05:20.190000,MQ,LAM,14.81292,-61.16314,1240.0,1776.0,1806.0,1776,100.0,ZNE,train,MQ_LAM_20140315_200537
"bucket1$105,:3,:6001",2014-03-15T20:05:28.669900,MQ,BAM,14.8171,-61.1445,670.0,962.0,,962,100.0,ZNE,train,MQ_BAM_20140315_200538
"bucket1$106,:3,:6001",2014-03-15T20:54:31.019900,MQ,BAM,14.8171,-61.1445,670.0,4406.0,,4406,100.0,ZNE,train,MQ_BAM_20140315_205515
"bucket1$107,:3,:6001",2014-03-15T20:55:02.939900,MQ,GBM,14.799451,-61.159276,800.0,1274.0,,1274,100.0,ZNE,train,MQ_GBM_20140315_205515
"bucket1$108,:3,:6001",2014-03-15T20:55:07.330000,MQ,LAM,14.81292,-61.16314,1240.0,848.0,901.0,848,100.0,ZNE,train,MQ_LAM_20140315_205515
"bucket1$109,:3,:6001",2014-03-15T21:06:23.549900,MQ,GBM,14.799451,-61.159276,800.0,4634.0,,4634,100.0,ZNE,train,MQ_GBM_20140315_210709
"bucket2$15,:3,:6001",2014-03-15T21:06:26.650000,MQ,LAM,14.81292,-61.16314,1240.0,4355.0,4443.0,4355,100.0,ZNE,test,MQ_LAM_20140315_210710
"bucket1$110,:3,:6001",2014-03-15T21:06:43.049900,MQ,BAM,14.8171,-61.1445,670.0,2748.0,,2748,100.0,ZNE,train,MQ_BAM_20140315_210710
"bucket1$111,:3,:6001",2014-03-15T21:53:54.680000,MQ,LAM,14.81292,-61.16314,1240.0,700.0,757.0,700,100.0,ZNE,train,MQ_LAM_20140315_215401
"bucket1$112,:3,:6001",2014-03-15T21:53:22.749900,MQ,GBM,14.799451,-61.159276,800.0,3947.0,,3947,100.0,ZNE,train,MQ_GBM_20140315_215402
"bucket0$11,:3,:6001",2014-03-15T21:53:13.529900,MQ,BAM,14.8171,-61.1445,670.0,4987.0,,4987,100.0,ZNE,dev,MQ_BAM_20140315_215403
"bucket1$113,:3,:6001",2014-03-15T22:42:24.110000,MQ,LAM,14.81292,-61.16314,1240.0,2398.0,2476.0,2398,100.0,ZNE,train,MQ_LAM_20140315_224248
"bucket1$114,:3,:6001",2014-03-15T22:42:03.849900,MQ,BAM,14.8171,-61.1445,670.0,4458.0,,4458,100.0,ZNE,train,MQ_BAM_20140315_224248
"bucket1$115,:3,:6001",2014-03-15T22:42:35.609900,MQ,GBM,14.799451,-61.159276,800.0,1288.0,,1288,100.0,ZNE,train,MQ_GBM_20140315_224248
"bucket1$116,:3,:6001",2014-03-15T22:09:58.300000,MQ,LAM,14.81292,-61.16314,1240.0,1356.0,2075.0,1356,100.0,ZNE,train,MQ_LAM_20140315_221011
"bucket1$117,:3,:6001",2014-03-15T22:09:26.409900,MQ,GBM,14.799451,-61.159276,800.0,4566.0,5324.0,4566,100.0,ZNE,train,MQ_GBM_20140315_221012
"bucket1$118,:3,:6001",2014-03-15T22:10:06.079900,MQ,BAM,14.8171,-61.1445,670.0,622.0,1339.0,622,100.0,ZNE,train,MQ_BAM_20140315_221012
"bucket0$12,:3,:6001",2014-03-15T22:48:06.550000,MQ,LAM,14.81292,-61.16314,1240.0,1781.0,1867.0,1781,100.0,ZNE,dev,MQ_LAM_20140315_224824
"bucket0$13,:3,:6001",2014-03-15T22:47:30.419900,MQ,BAM,14.8171,-61.1445,670.0,5435.0,,5435,100.0,ZNE,dev,MQ_BAM_20140315_224824
"bucket1$119,:3,:6001",2014-03-15T22:47:56.159900,MQ,GBM,14.799451,-61.159276,800.0,2896.0,,2896,100.0,ZNE,train,MQ_GBM_20140315_224825
"bucket1$120,:3,:6001",2014-03-15T22:47:44.760000,MQ,IA2,14.80307,-61.20515,289.0,,4134.0,4134,100.0,ZNE,train,MQ_IA2_20140315_224826
